ID,answer_0,answer_1,answer_2,answer_3
TEST_0000,0,1,2,3
TEST_0001,0,1,3,2
TEST_0002,0,3,2,1
TEST_0003,3,2,1,0
TEST_0004,0,2,1,3
TEST_0005,1,0,2,3
TEST_0006,0,2,1,3
TEST_0007,1,3,2,0
TEST_0008,1,2,3,0
TEST_0009,0,3,2,1
TEST_0010,3,0,2,1
TEST_0011,2,0,1,3
TEST_0012,2,1,0,3
TEST_0013,2,0,3,1
TEST_0014,1,0,3,2
TEST_0015,0,1,2,3
TEST_0016,0,2,1,3
TEST_0017,2,1,0,3
TEST_0018,3,2,0,1
TEST_0019,2,3,0,1
TEST_0020,2,1,0,3
TEST_0021,1,3,0,2
TEST_0022,0,3,2,1
TEST_0023,2,0,1,3
TEST_0024,3,2,0,1
TEST_0025,2,3,0,1
TEST_0026,1,2,0,3
TEST_0027,2,1,3,0
TEST_0028,2,0,1,3
TEST_0029,3,1,0,2
TEST_0030,2,3,1,0
TEST_0031,2,1,0,3
TEST_0032,0,2,1,3
TEST_0033,2,0,1,3
TEST_0034,0,2,3,1
TEST_0035,1,0,3,2
TEST_0036,3,0,2,1
TEST_0037,0,3,1,2
TEST_0038,2,1,0,3
TEST_0039,1,0,2,3
TEST_0040,1,3,2,0
TEST_0041,2,0,1,3
TEST_0042,3,1,0,2
TEST_0043,2,1,0,3
TEST_0044,0,2,3,1
TEST_0045,0,2,3,1
TEST_0046,1,3,0,2
TEST_0047,1,2,0,3
TEST_0048,3,1,2,0
TEST_0049,3,1,2,0
TEST_0050,3,2,1,0
TEST_0051,3,0,2,1
TEST_0052,0,2,3,1
TEST_0053,1,3,2,0
TEST_0054,2,0,1,3
TEST_0055,2,1,3,0
TEST_0056,1,3,0,2
TEST_0057,3,1,2,0
TEST_0058,1,0,2,3
TEST_0059,1,0,2,3
TEST_0060,0,2,1,3
TEST_0061,2,1,3,0
TEST_0062,1,2,3,0
TEST_0063,3,0,1,2
TEST_0064,0,3,2,1
TEST_0065,0,2,3,1
TEST_0066,1,2,0,3
TEST_0067,0,3,1,2
TEST_0068,1,2,0,3
TEST_0069,2,3,0,1
TEST_0070,1,0,2,3
TEST_0071,3,2,1,0
TEST_0072,1,2,3,0
TEST_0073,3,1,0,2
TEST_0074,0,2,3,1
TEST_0075,1,0,3,2
TEST_0076,3,2,0,1
TEST_0077,2,1,0,3
TEST_0078,0,3,2,1
TEST_0079,0,2,3,1
TEST_0080,0,2,3,1
TEST_0081,0,2,1,3
TEST_0082,1,2,3,0
TEST_0083,3,2,0,1
TEST_0084,0,3,1,2
TEST_0085,2,3,1,0
TEST_0086,3,1,2,0
TEST_0087,2,0,1,3
TEST_0088,1,3,0,2
TEST_0089,1,2,3,0
TEST_0090,0,3,2,1
TEST_0091,0,2,1,3
TEST_0092,2,0,1,3
TEST_0093,2,3,1,0
TEST_0094,0,2,3,1
TEST_0095,1,0,3,2
TEST_0096,3,0,1,2
TEST_0097,2,1,3,0
TEST_0098,2,3,0,1
TEST_0099,1,2,0,3
TEST_0100,0,3,1,2
TEST_0101,0,1,3,2
TEST_0102,1,2,3,0
TEST_0103,1,3,2,0
TEST_0104,3,2,1,0
TEST_0105,3,2,1,0
TEST_0106,0,1,3,2
TEST_0107,2,1,0,3
TEST_0108,1,0,3,2
TEST_0109,1,2,0,3
TEST_0110,1,2,3,0
TEST_0111,3,2,1,0
TEST_0112,1,3,2,0
TEST_0113,3,1,2,0
TEST_0114,3,1,2,0
TEST_0115,2,1,0,3
TEST_0116,1,3,0,2
TEST_0117,3,2,1,0
TEST_0118,1,0,2,3
TEST_0119,3,1,0,2
TEST_0120,0,2,3,1
TEST_0121,1,3,0,2
TEST_0122,2,1,0,3
TEST_0123,3,2,1,0
TEST_0124,1,3,2,0
TEST_0125,1,2,3,0
TEST_0126,2,3,1,0
TEST_0127,1,2,0,3
TEST_0128,0,3,1,2
TEST_0129,0,3,1,2
TEST_0130,1,0,2,3
TEST_0131,2,3,1,0
TEST_0132,0,2,3,1
TEST_0133,1,2,0,3
TEST_0134,0,2,1,3
TEST_0135,1,3,0,2
TEST_0136,3,2,1,0
TEST_0137,1,0,2,3
TEST_0138,2,0,3,1
TEST_0139,2,3,1,0
TEST_0140,3,1,0,2
TEST_0141,3,1,2,0
TEST_0142,2,1,0,3
TEST_0143,1,2,3,0
TEST_0144,3,1,2,0
TEST_0145,0,3,2,1
TEST_0146,0,3,2,1
TEST_0147,1,3,0,2
TEST_0148,2,3,0,1
TEST_0149,2,1,3,0
TEST_0150,2,0,1,3
TEST_0151,1,3,0,2
TEST_0152,3,1,0,2
TEST_0153,2,3,1,0
TEST_0154,2,3,1,0
TEST_0155,2,0,3,1
TEST_0156,3,0,2,1
TEST_0157,3,2,0,1
TEST_0158,1,2,3,0
TEST_0159,2,1,3,0
TEST_0160,0,3,2,1
TEST_0161,3,0,1,2
TEST_0162,2,0,1,3
TEST_0163,3,0,2,1
TEST_0164,1,2,0,3
TEST_0165,3,2,1,0
TEST_0166,1,3,2,0
TEST_0167,2,3,1,0
TEST_0168,1,3,0,2
TEST_0169,3,2,1,0
TEST_0170,0,1,3,2
TEST_0171,1,3,2,0
TEST_0172,1,2,3,0
TEST_0173,0,1,2,3
